id,created_at,provider_name,sku_provider,raw_title,price,currency,metadata,status,normalized_product_id
1188,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCWC181E,Minisplit Inverter X32 Frio Calor 220v Mirage 1.5 Toneladas,9499.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-220v-mirage-2-toneladas-24000-btu-magnum-22/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775517.615891}",processed,d3866363-059b-4092-bac2-31df512e599a
1189,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCMC261V,Minisplit Inverter 220v Mirage Frio Calor 2 Toneladas 24000 Btu Magnum 22,17349.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-v32-frio-calor-220v-mirage-1-tonelada-r32/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775518.405116}",processed,d566fe5d-6cdf-423f-9193-fcd4881e4634
1190,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCMF181V,Minisplit Inverter 220v Mirage 1.5 Tonelada 18 Btu Magnum 22,11799.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-v32-220v-mirage-1-5-toneladas-18btu-r32/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775519.299809}",processed,347139b9-911e-45fb-a9a4-a7b6edd39c90
1191,2025-12-26 18:59:18.685003+00,Aires Aurum,MACC1821N,Aire Acondicionado Ventana Mirage 220 V 1.5 Ton 18 000 Btu,7799.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/aire-minisplit-220v-mirage-2-toneladas-24000-btu-nex/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775520.0500882}",processed,4458c1e6-79bd-48e3-a09d-deb542976643
1192,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCWF181E,Minisplit Inverter X32 220v Mirage 1.5 Toneladas 18000 B R32,8599.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-x32-frio-calor-110v-mirage-1-tonelada/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775521.3619483}",processed,d3866363-059b-4092-bac2-31df512e599a
1193,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCVC261E,Minisplit Inverter V32 Frio Calor 220v Mirage 2 Toneladas -,11998.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-x-220v-mirage-1-tonelada-12000-btu-r32/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775522.6811383}",processed,3e4cad0b-c75f-4b8c-b508-84efc2f4ea91
1194,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCWC361C,Minisplit Inverter 220v Mirage 3 Toneladas Frio Calor Inv17,22999.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-x-220v-mirage-1-5-toneladas-12-btu-r32/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775523.4974134}",processed,897d32d8-c7b7-4893-b4b5-3d07e26c0039
1195,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCWC361C,Minisplit Inverter 220v Mirage 3 Toneladas Frio Calor Inv17,22999.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/aire-minisplit-220v-frio-calor-mirage-1-tonelada-12-btu-nex/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775524.4566483}",processed,897d32d8-c7b7-4893-b4b5-3d07e26c0039
1196,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCHC181T,Aire Minisplit 220v Frio Calor Mirage 1.5 Toneladas 18k Nex,7799.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/aire-minisplit-110v-frio-calor-mirage-1-tonelada-12k-btu-nex/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775525.143441}",processed,d3866363-059b-4092-bac2-31df512e599a
1197,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCLF121H,Aire Minisplit 220v Mirage 1 Tonelada 12000 Btu X Life,4999.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-220v-mirage-2-toneladas-24000-btu-life-12-r410a/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775526.2024705}",processed,4872f759-d1b5-4048-8be8-137e2a4c726d
1198,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCWC181E,Minisplit Inverter X32 Frio Calor 220v Mirage 1.5 Toneladas,9499.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-220v-mirage-3-toneladas-frio-calor-inv17/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775527.2778544}",processed,d3866363-059b-4092-bac2-31df512e599a
1199,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCMF121J,Minisplit Inverter X 220v Mirage 1 Tonelada 12000 Btu R32,5999.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-220v-mirage-1-tonelada-12b-magnum-22-seer/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775528.4320886}",processed,a41a519f-94d7-4126-a933-f05b0a1737f7
1200,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCMF120J,Minisplit Inverter X 110v Mirage 1 Tonelada 12 Btu R32 Frio,6199.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-x32-220v-mirage-1-5-toneladas-18000-b-r321/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775529.2801197}",processed,526d4ffc-8129-49d3-b1f3-c2c739e8d07c
1201,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCWC181E,Minisplit Inverter X32 Frio Calor 220v Mirage 1.5 Toneladas,9499.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-x-110v-mirage-1-tonelada-12-btu-r32-frio/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775530.2141333}",processed,d3866363-059b-4092-bac2-31df512e599a
1202,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCLF121H,Aire Minisplit 220v Mirage 1 Tonelada 12000 Btu X Life,4999.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/aire-minisplit-220v-mirage-1-tonelada-12000-btu-nex-2025/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775531.2261114}",processed,4872f759-d1b5-4048-8be8-137e2a4c726d
1203,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCMF120J,Minisplit Inverter X 110v Mirage 1 Tonelada 12 Btu R32 Frio,6199.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/aire-minisplit-220v-mirage-1-5-toneladas-18000-btu-nex-frio/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775532.478338}",processed,526d4ffc-8129-49d3-b1f3-c2c739e8d07c
1204,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCWF181E,Minisplit Inverter X32 220v Mirage 1.5 Toneladas 18000 B R32,8599.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-x32-frio-calor-220v-mirage-1-5-toneladas/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775533.6513298}",processed,d3866363-059b-4092-bac2-31df512e599a
1205,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCMF121J,Minisplit Inverter X 220v Mirage 1 Tonelada 12000 Btu R32,5999.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-v32-frio-calor-220v-mirage-2-toneladas1/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775534.9161036}",processed,a41a519f-94d7-4126-a933-f05b0a1737f7
1206,2025-12-26 18:59:18.685003+00,Aires Aurum,MACC1821N,Aire Acondicionado Ventana Mirage 220 V 1.5 Ton 18 000 Btu,7799.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/mirage-xlife-1-1-2-tons/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775536.1290753}",processed,4458c1e6-79bd-48e3-a09d-deb542976643
1207,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCWF121E,Minisplit Inverter X32 220v Mirage 1 Tonelada 12000 Btu R32,5799.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-x32-110v-mirage-1-tonelada-12000-btu-r32/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775537.1650093}",processed,85de5953-4582-45bd-8b3b-326e3b6755bd
1208,2025-12-26 18:59:18.685003+00,Aires Aurum,SETCWF181E,Minisplit Inverter X32 220v Mirage 1.5 Toneladas 18000 B R32,8599.0,MXN,"{""url"":""https://airesaurum.com.mx/productos/minisplit-inverter-220v-mirage-1-5-tonelada-18-btu-magnum-22/"",""brand"":""Mirage"",""last_error"":null,""scraped_at"":1766775537.7889495}",processed,d3866363-059b-4092-bac2-31df512e599a
