sku,precio,proveedor,sku_original,url,scraped_at,raw_id
EQ-MSO-15T220-004,8399.0,Aires Aurum,SETCLF181H,https://airesaurum.com.mx/productos/mirage-x-one-maps1211c-blanco-127v/,2025-12-26 18:59:18.685003+00,1223
EQ-MSO-15T220-003,7799.0,Aires Aurum,SETCHC181T,https://airesaurum.com.mx/productos/minisplit-220v-frio-calor-mirage-1-tonelada-12-btu-life-12/,2025-12-26 18:59:18.685003+00,1224
EQ-VEN-075T110-001,4299.0,Aires Aurum,MACC0811N,https://airesaurum.com.mx/productos/aire-minisplit-220v-mirage-1-tonelada-12000-btu-x-life1/,2025-12-26 18:59:18.685003+00,1225
EQ-MSO-2T220-005,10999.0,Aires Aurum,SETCLF261T,https://airesaurum.com.mx/productos/aire-acondicionado-ventana-mirage-220-v-1-5-ton-18-000-btu/,2025-12-26 18:59:18.685003+00,1226
EQ-MSI-15T220-006,9499.0,Aires Aurum,SETCWC181E,https://airesaurum.com.mx/productos/minisplit-inverter-x-220v-mirage-2-toneladas-24000-btu-r32-m/,2025-12-26 18:59:18.685003+00,1227
EQ-MSI-1T220-005,6399.0,Aires Aurum,SETCMC121J,https://airesaurum.com.mx/productos/aire-minisplit-220v-frio-calor-mirage-1-tonelada-x-life/,2025-12-26 18:59:18.685003+00,1228
EQ-MSO-15T220-004,8099.0,Aires Aurum,SETCLF181H,https://airesaurum.com.mx/productos/aire-minisplit-220v-mirage-1-5-toneladas-18000-bt-x-life/,2025-12-26 18:59:18.685003+00,1229
EQ-CEN-YOR-001,35762.08,Grupo Coresa,COR-181029-00000702,https://www.grupocoresa.com/juego-dividido-tipo-americano-4tr-s-f-r410a-220-1-60-13seer-2070,2025-12-26 19:25:26.188819+00,1230
EQ-CEN-YOR-001,35762.08,Grupo Coresa,COR-181029-00000702,https://www.grupocoresa.com/juego-dividido-tipo-americano-4tr-s-f-r410a-220-1-60-13seer-2070,2025-12-26 19:25:26.188819+00,1231
EQ-MSO-1T110-004,5081.12,Grupo Coresa,COR-181029-00001091,https://www.grupocoresa.com/minisplit-1-tr-h-p-110v-r410a-ef-estandar-11seer-1901,2025-12-26 19:25:26.188819+00,1232
EQ-MSO-1T110-004,5081.12,Grupo Coresa,COR-181029-00001091,https://www.grupocoresa.com/minisplit-1-tr-h-p-110v-r410a-ef-estandar-11seer-1901,2025-12-26 19:25:26.188819+00,1233
